       X              Y       
  0.000000e+000  0.000000e+000
  2.000000e-002  6.767468e-005
  4.000000e-002  1.321019e-004
  6.000000e-002  1.975815e-004
  8.000000e-002  2.690512e-004
  1.000000e-001  3.466294e-004
  1.200000e-001  4.288745e-004
  1.400000e-001  5.154875e-004
  1.600000e-001  6.059848e-004
  1.800000e-001  6.999393e-004
  2.000000e-001  7.969600e-004
  2.200000e-001  8.966962e-004
  2.400000e-001  9.988354e-004
  2.600000e-001  1.103100e-003
  2.800000e-001  1.209244e-003
  3.000000e-001  1.317048e-003
  3.200000e-001  1.426317e-003
  3.400000e-001  1.536880e-003
  3.600000e-001  1.648582e-003
  3.800000e-001  1.761286e-003
  4.000000e-001  1.874869e-003
  4.200000e-001  1.989221e-003
  4.400000e-001  2.104244e-003
  4.600000e-001  2.219849e-003
  4.800000e-001  2.335956e-003
  5.000000e-001  2.452494e-003
  5.200000e-001  2.569398e-003
  5.400000e-001  2.686610e-003
  5.600000e-001  2.804075e-003
  5.800000e-001  2.921747e-003
  6.000000e-001  3.039581e-003
  6.200000e-001  3.157538e-003
  6.400000e-001  3.275581e-003
  6.600000e-001  3.393678e-003
  6.800000e-001  3.511797e-003
  7.000000e-001  3.629912e-003
  7.200000e-001  3.747997e-003
  7.400000e-001  3.866029e-003
  7.600000e-001  3.983987e-003
  7.800000e-001  4.101850e-003
  8.000000e-001  4.219600e-003
  8.200000e-001  4.337221e-003
  8.400000e-001  4.454698e-003
  8.600000e-001  4.572016e-003
  8.800000e-001  4.689162e-003
  9.000000e-001  4.806124e-003
  9.200000e-001  4.922890e-003
  9.400000e-001  5.039450e-003
  9.600000e-001  5.155794e-003
  9.800000e-001  5.271913e-003
  1.000000e+000  5.387798e-003
