       X              Y       
  0.000000e+000  0.000000e+000
  2.000000e-002 -5.119626e-004
  4.000000e-002 -6.113347e-004
  6.000000e-002 -6.010503e-004
  8.000000e-002 -3.912462e-004
  1.000000e-001 -1.724250e-004
  1.200000e-001  7.296743e-005
  1.400000e-001  3.301284e-004
  1.600000e-001  5.939070e-004
  1.800000e-001  8.604435e-004
  2.000000e-001  1.127268e-003
  2.200000e-001  1.392721e-003
  2.400000e-001  1.655684e-003
  2.600000e-001  1.915397e-003
  2.800000e-001  2.171345e-003
  3.000000e-001  2.423186e-003
  3.200000e-001  2.670696e-003
  3.400000e-001  2.913739e-003
  3.600000e-001  3.152238e-003
  3.800000e-001  3.386163e-003
  4.000000e-001  3.615514e-003
  4.200000e-001  3.840315e-003
  4.400000e-001  4.060606e-003
  4.600000e-001  4.276440e-003
  4.800000e-001  4.487878e-003
  5.000000e-001  4.694986e-003
  5.200000e-001  4.897834e-003
  5.400000e-001  5.096495e-003
  5.600000e-001  5.291043e-003
  5.800000e-001  5.481551e-003
  6.000000e-001  5.668095e-003
  6.200000e-001  5.850747e-003
  6.400000e-001  6.029580e-003
  6.600000e-001  6.204666e-003
  6.800000e-001  6.376074e-003
  7.000000e-001  6.543873e-003
  7.200000e-001  6.708131e-003
  7.400000e-001  6.868913e-003
  7.600000e-001  7.026283e-003
  7.800000e-001  7.180305e-003
  8.000000e-001  7.331039e-003
  8.200000e-001  7.478545e-003
  8.400000e-001  7.622882e-003
  8.600000e-001  7.764107e-003
  8.800000e-001  7.902274e-003
  9.000000e-001  8.037440e-003
  9.200000e-001  8.169656e-003
  9.400000e-001  8.298975e-003
  9.600000e-001  8.425449e-003
  9.800000e-001  8.549126e-003
  1.000000e+000  8.670054e-003
