       X              Y       
  0.000000e+000  0.000000e+000
  2.000000e-002  3.000000e-003
  4.000000e-002  6.000000e-003
  6.000000e-002  9.000000e-003
  8.000000e-002  1.200000e-002
  1.000000e-001  1.500000e-002
  1.200000e-001  1.800000e-002
  1.400000e-001  2.100000e-002
  1.600000e-001  2.400000e-002
  1.800000e-001  2.700000e-002
  2.000000e-001  3.000000e-002
  2.200000e-001  3.300000e-002
  2.400000e-001  3.600000e-002
  2.600000e-001  3.900000e-002
  2.800000e-001  4.200000e-002
  3.000000e-001  4.500000e-002
  3.200000e-001  4.800000e-002
  3.400000e-001  5.100000e-002
  3.600000e-001  5.400000e-002
  3.800000e-001  5.700000e-002
  4.000000e-001  6.000000e-002
  4.200000e-001  6.300000e-002
  4.400000e-001  6.600000e-002
  4.600000e-001  6.900000e-002
  4.800000e-001  7.200000e-002
  5.000000e-001  7.500000e-002
  5.200000e-001  7.800000e-002
  5.400000e-001  8.100000e-002
  5.600000e-001  8.400000e-002
  5.800000e-001  8.700000e-002
  6.000000e-001  9.000000e-002
  6.200000e-001  9.300000e-002
  6.400000e-001  9.600000e-002
  6.600000e-001  9.900000e-002
  6.800000e-001  1.020000e-001
  7.000000e-001  1.050000e-001
  7.200000e-001  1.080000e-001
  7.400000e-001  1.110000e-001
  7.600000e-001  1.140000e-001
  7.800000e-001  1.170000e-001
  8.000000e-001  1.200000e-001
  8.200000e-001  1.230000e-001
  8.400000e-001  1.260000e-001
  8.600000e-001  1.290000e-001
  8.800000e-001  1.320000e-001
  9.000000e-001  1.350000e-001
  9.200000e-001  1.380000e-001
  9.400000e-001  1.410000e-001
  9.600000e-001  1.440000e-001
  9.800000e-001  1.470000e-001
  1.000000e+000  1.500000e-001
