Time	Value	(marc)
0.000000000E+00	0.000000000E+00	
2.000000000E-02	-3.238108000E-04	
4.000000000E-02	-6.125062000E-04	
6.000000000E-02	-8.461708000E-04	
8.000000000E-02	-1.029256000E-03	
1.000000000E-01	-1.166674000E-03	
1.200000000E-01	-1.263978000E-03	
1.400000000E-01	-1.326293000E-03	
1.600000000E-01	-1.358090000E-03	
1.800000000E-01	-1.363191000E-03	
2.000000000E-01	-1.344839000E-03	
2.200000000E-01	-1.305775000E-03	
2.400000000E-01	-1.257074000E-03	
2.600000000E-01	-1.180107000E-03	
2.800000000E-01	-1.091242000E-03	
3.000000000E-01	-9.888753000E-04	
3.200000000E-01	-8.744806000E-04	
3.400000000E-01	-7.490662000E-04	
3.600000000E-01	-6.135326000E-04	
3.800000000E-01	-4.686518000E-04	
4.000000000E-01	-3.150910000E-04	
4.200000000E-01	-1.534271000E-04	
4.400000000E-01	1.583972000E-05	
4.600000000E-01	1.922758000E-04	
4.800000000E-01	3.755044000E-04	
5.000000000E-01	5.651984000E-04	
5.200000000E-01	7.610735000E-04	
5.400000000E-01	9.628834000E-04	
5.600000000E-01	1.170414000E-03	
5.800000000E-01	1.383483000E-03	
6.000000000E-01	1.601929000E-03	
6.200000000E-01	1.825618000E-03	
6.400000000E-01	2.054435000E-03	
6.600000000E-01	2.288282000E-03	
6.800000000E-01	2.527079000E-03	
7.000000000E-01	2.770760000E-03	
7.200000000E-01	3.019275000E-03	
7.400000000E-01	3.272582000E-03	
7.600000000E-01	3.530654000E-03	
7.800000000E-01	3.793474000E-03	
8.000000000E-01	4.061033000E-03	
8.200000000E-01	4.333335000E-03	
8.400000000E-01	4.610387000E-03	
8.600000000E-01	4.892208000E-03	
8.800000000E-01	5.178825000E-03	
9.000000000E-01	5.470270000E-03	
9.200000000E-01	5.766585000E-03	
9.400000000E-01	6.067816000E-03	
9.600000000E-01	6.374017000E-03	
9.800000000E-01	6.685250000E-03	
1.000000000E+00	7.001583000E-03	
