Time	Value	(marc)
0.000000000E+00	0.00000000E+00	
2.000000000E-02	-1.75996300E-03	
4.000000000E-02	-2.33451400E-03	
6.000000000E-02	-2.41154400E-03	
8.000000000E-02	-2.25197500E-03	
1.000000000E-01	-1.97111100E-03	
1.200000000E-01	-1.62759500E-03	
1.400000000E-01	-1.25344400E-03	
1.600000000E-01	-8.66974600E-04	
1.800000000E-01	-4.78961600E-04	
2.000000000E-01	-9.58119900E-05	
2.200000000E-01	2.78693000E-04	
2.400000000E-01	6.47825200E-04	
2.600000000E-01	9.94879900E-04	
2.800000000E-01	1.33540800E-03	
3.000000000E-01	1.66276300E-03	
3.200000000E-01	1.97769800E-03	
3.400000000E-01	2.28055100E-03	
3.600000000E-01	2.57183900E-03	
3.800000000E-01	2.85211300E-03	
4.000000000E-01	3.12194400E-03	
4.200000000E-01	3.38190400E-03	
4.400000000E-01	3.63255100E-03	
4.600000000E-01	3.87443100E-03	
4.800000000E-01	4.10806300E-03	
5.000000000E-01	4.33394600E-03	
5.200000000E-01	4.55255200E-03	
5.400000000E-01	4.76432800E-03	
5.600000000E-01	4.96969500E-03	
5.800000000E-01	5.16905000E-03	
6.000000000E-01	5.36276700E-03	
6.200000000E-01	5.55119800E-03	
6.400000000E-01	5.73467100E-03	
6.600000000E-01	5.91350000E-03	
6.800000000E-01	6.08797300E-03	
7.000000000E-01	6.25836700E-03	
7.200000000E-01	6.42493900E-03	
7.400000000E-01	6.58793100E-03	
7.600000000E-01	6.74757200E-03	
7.800000000E-01	6.90407700E-03	
8.000000000E-01	7.05764900E-03	
8.200000000E-01	7.20847900E-03	
8.400000000E-01	7.35674800E-03	
8.600000000E-01	7.50262700E-03	
8.800000000E-01	7.64627800E-03	
9.000000000E-01	7.78785300E-03	
9.200000000E-01	7.92749900E-03	
9.400000000E-01	8.06535200E-03	
9.600000000E-01	8.20154600E-03	
9.800000000E-01	8.33620400E-03	
1.000000000E+00	8.46944700E-03	
