Time	Value	(marc)
0.000000000E+00	0.00000000E+00	
2.000000000E-02	3.00000000E-03	
4.000000000E-02	6.00000000E-03	
6.000000000E-02	9.00000000E-03	
8.000000000E-02	1.20000000E-02	
1.000000000E-01	1.50000000E-02	
1.200000000E-01	1.80000000E-02	
1.400000000E-01	2.10000000E-02	
1.600000000E-01	2.40000000E-02	
1.800000000E-01	2.70000000E-02	
2.000000000E-01	3.00000000E-02	
2.200000000E-01	3.30000000E-02	
2.400000000E-01	3.60000000E-02	
2.600000000E-01	3.90000000E-02	
2.800000000E-01	4.20000000E-02	
3.000000000E-01	4.50000000E-02	
3.200000000E-01	4.80000000E-02	
3.400000000E-01	5.10000000E-02	
3.600000000E-01	5.40000000E-02	
3.800000000E-01	5.70000000E-02	
4.000000000E-01	6.00000000E-02	
4.200000000E-01	6.30000000E-02	
4.400000000E-01	6.60000000E-02	
4.600000000E-01	6.90000000E-02	
4.800000000E-01	7.20000000E-02	
5.000000000E-01	7.50000000E-02	
5.200000000E-01	7.80000000E-02	
5.400000000E-01	8.10000000E-02	
5.600000000E-01	8.40000000E-02	
5.800000000E-01	8.70000000E-02	
6.000000000E-01	9.00000000E-02	
6.200000000E-01	9.30000000E-02	
6.400000000E-01	9.60000000E-02	
6.600000000E-01	9.90000000E-02	
6.800000000E-01	1.02000000E-01	
7.000000000E-01	1.05000000E-01	
7.200000000E-01	1.08000000E-01	
7.400000000E-01	1.11000000E-01	
7.600000000E-01	1.14000000E-01	
7.800000000E-01	1.17000000E-01	
8.000000000E-01	1.20000000E-01	
8.200000000E-01	1.23000000E-01	
8.400000000E-01	1.26000000E-01	
8.600000000E-01	1.29000000E-01	
8.800000000E-01	1.32000000E-01	
9.000000000E-01	1.35000000E-01	
9.200000000E-01	1.38000000E-01	
9.400000000E-01	1.41000000E-01	
9.600000000E-01	1.44000000E-01	
9.800000000E-01	1.47000000E-01	
1.000000000E+00	1.50000000E-01	
