MESH  

        NNODES = 42
        NELEM = 71
        NDIME = 3

        COORDINATES
         1 1.000000014901161-1 0.000000000000000+0 3.000000119209290-1
         2 1.38777878078145-17 0.000000000000000+0 3.000000119209290-1
         3 1.38777878078145-17 5.000000074505806-2 3.000000119209290-1
         4 1.000000014901161-1 5.000000074505806-2 3.000000119209290-1
         5 1.000000014901161-1 5.000000074505806-2 0.000000000000000+0
         6 0.000000000000000+0 5.000000074505806-2 0.000000000000000+0
         7 0.000000000000000+0 0.000000000000000+0 0.000000000000000+0
         8 1.000000014901161-1 0.000000000000000+0 0.000000000000000+0
         9 5.000000074505806-2 0.000000000000000+0 3.000000119209290-1
        10 5.000000074505806-2 5.000000074505806-2 3.000000119209290-1
        11 5.000000074505806-2 5.000000074505806-2 0.000000000000000+0
        12 5.000000074505806-2 0.000000000000000+0 0.000000000000000+0
        13 1.000000014901161-1 0.000000000000000+0 2.500000000000000-1
        14 1.000000014901161-1 0.000000000000000+0 2.000000029802323-1
        15 1.000000014901161-1 0.000000000000000+0 1.500000059604645-1
        16 1.000000014901161-1 0.000000000000000+0 1.000000014901161-1
        17 1.000000014901161-1 0.000000000000000+0 5.000000074505806-2
        18 0.000000000000000+0 0.000000000000000+0 5.000000074505806-2
        19 0.000000000000000+0 0.000000000000000+0 1.000000014901161-1
        20 0.000000000000000+0 0.000000000000000+0 1.500000059604645-1
        21 0.000000000000000+0 0.000000000000000+0 2.000000029802323-1
        22 0.000000000000000+0 0.000000000000000+0 2.500000000000000-1
        23 0.000000000000000+0 5.000000074505806-2 5.000000074505806-2
        24 0.000000000000000+0 5.000000074505806-2 1.000000014901161-1
        25 0.000000000000000+0 5.000000074505806-2 1.500000059604645-1
        26 0.000000000000000+0 5.000000074505806-2 2.000000029802323-1
        27 0.000000000000000+0 5.000000074505806-2 2.500000000000000-1
        28 1.000000014901161-1 5.000000074505806-2 5.000000074505806-2
        29 1.000000014901161-1 5.000000074505806-2 1.000000014901161-1
        30 1.000000014901161-1 5.000000074505806-2 1.500000059604645-1
        31 1.000000014901161-1 5.000000074505806-2 2.000000029802323-1
        32 1.000000014901161-1 5.000000074505806-2 2.500000000000000-1
        33 5.000000074505806-2 0.000000000000000+0 2.500000000000000-1
        34 5.000000074505806-2 0.000000000000000+0 2.000000029802323-1
        35 5.000000074505806-2 0.000000000000000+0 1.500000059604645-1
        36 5.000000074505806-2 0.000000000000000+0 1.000000014901161-1
        37 5.000000074505806-2 0.000000000000000+0 5.000000074505806-2
        38 5.000000819563866-2 5.000000819563866-2 2.500000000000000-1
        39 5.000000074505806-2 5.000000074505806-2 2.000000029802323-1
        40 5.000000074505806-2 5.000000074505806-2 1.500000059604645-1
        41 5.000000074505806-2 5.000000074505806-2 1.000000014901161-1
        42 5.000000074505806-2 5.000000074505806-2 5.000000074505806-2
        END COORDINATES

        MATERIAL ID
        71
        1 1
        2 1
        3 1
        4 1
        5 1
        6 1
        7 1
        8 1
        9 1
        10 1
        11 1
        12 1
        13 1
        14 1
        15 1
        16 1
        17 1
        18 1
        19 1
        20 1
        21 1
        22 1
        23 1
        24 1
        25 1
        26 1
        27 1
        28 1
        29 1
        30 1
        31 1
        32 1
        33 1
        34 1
        35 1
        36 1
        37 1
        38 1
        39 1
        40 1
        41 1
        42 1
        43 1
        44 1
        45 1
        46 1
        47 1
        48 1
        49 1
        50 1
        51 1
        52 1
        53 1
        54 1
        55 1
        56 1
        57 1
        58 1
        59 1
        60 1
        61 1
        62 1
        63 1
        64 1
        65 1
        66 1
        67 1
        68 1
        69 1
        70 1
        71 1
        END MATERIAL ID
        
        CONNECTIVITY
        1	4	4	36	25	19	20
		2	4	4	25	36	24	41
		3	4	4	36	18	24	41
		4	4	4	36	17	41	16
		5	4	4	20	26	21	35
		6	4	4	25	26	20	35
		7	4	4	36	25	20	35
		8	4	4	25	36	41	35
		9	4	4	41	36	16	35
		10	4	4	18	36	24	19
		11	4	4	36	25	24	19
		12	4	4	18	24	41	23
		13	4	4	26	21	35	34
		14	4	4	21	26	27	34
		15	4	4	12	18	23	7
		16	4	4	16	41	35	15
		17	4	4	41	25	35	40
		18	4	4	25	26	35	40
		19	4	4	41	35	15	40
		20	4	4	35	26	34	40
		21	4	4	35	34	15	40
		22	4	4	17	41	16	28
		23	4	4	17	8	37	28
		24	4	4	15	41	40	30
		25	4	4	16	41	15	29
		26	4	4	41	16	28	29
		27	4	4	23	12	7	6
		28	4	4	15	41	30	29
		29	4	4	34	15	40	31
		30	4	4	40	15	30	31
		31	4	4	17	36	41	37
		32	4	4	36	18	41	37
		33	4	4	18	12	23	37
		34	4	4	41	18	23	37
		35	4	4	8	37	28	12
		36	4	4	17	41	28	37
		37	4	4	32	1	4	33
		38	4	4	27	33	22	34
		39	4	4	34	32	33	14
		40	4	4	32	34	31	14
		41	4	4	34	15	31	14
		42	4	4	8	12	28	11
		43	4	4	23	12	6	11
		44	4	4	12	23	37	11
		45	4	4	28	12	37	11
		46	4	4	4	32	33	38
		47	4	4	26	34	40	39
		48	4	4	40	34	31	39
		49	4	4	26	27	34	39
		50	4	4	34	32	31	39
		51	4	4	34	27	33	39
		52	4	4	33	27	38	39
		53	4	4	32	34	33	39
		54	4	4	32	33	38	39
		55	4	4	28	8	11	5
		56	4	4	33	4	38	10
		57	4	4	1	4	33	9
		58	4	4	27	33	38	10
		59	4	4	2	27	3	10
		60	4	4	32	1	33	13
		61	4	4	32	33	14	13
		62	4	4	23	41	37	42
		63	4	4	41	28	37	42
		64	4	4	23	37	11	42
		65	4	4	37	28	11	42
		66	4	4	33	4	10	9
		67	4	4	27	2	33	9
		68	4	4	2	27	10	9
		69	4	4	27	33	10	9
		70	4	4	2	27	33	22
		71	4	4	22	27	34	21
        END CONNECTIVITY

END MESH



BOUNDARY CONDITIONS 

        FIXED SUPPORTS
        6
          5      1      1      1
          6      1      1      1
          7      1      1      1
          8      1      1      1
          11     1      1      1
          12     1      1      1

        LOAD CASES
        
        Nodal Load
        1
        1 0 Table1 1 Table_Load_Y 0 Table1

        Nodal Displacement
        6
        1 0 Table1 0 Table1 1 Table_Disp_Z
        2 0 Table1 0 Table1 1 Table_Disp_Z
        3 0 Table1 0 Table1 1 Table_Disp_Z
