       X              Y       
  0.000000e+000  0.000000e+000
  2.000000e-002  1.424986e-005
  4.000000e-002  3.567690e-005
  6.000000e-002  6.451393e-005
  8.000000e-002  1.007663e-004
  1.000000e-001  1.443287e-004
  1.200000e-001  1.950453e-004
  1.400000e-001  2.527407e-004
  1.600000e-001  3.172357e-004
  1.800000e-001  3.883559e-004
  2.000000e-001  4.627355e-004
  2.200000e-001  5.469660e-004
  2.400000e-001  6.370581e-004
  2.600000e-001  7.331758e-004
  2.800000e-001  8.351897e-004
  3.000000e-001  9.429867e-004
  3.200000e-001  1.056463e-003
  3.400000e-001  1.175524e-003
  3.600000e-001  1.300082e-003
  3.800000e-001  1.430059e-003
  4.000000e-001  1.565383e-003
  4.200000e-001  1.705989e-003
  4.400000e-001  1.851818e-003
  4.600000e-001  2.002818e-003
  4.800000e-001  2.158944e-003
  5.000000e-001  2.320153e-003
  5.200000e-001  2.486410e-003
  5.400000e-001  2.657685e-003
  5.600000e-001  2.833953e-003
  5.800000e-001  3.015193e-003
  6.000000e-001  3.201388e-003
  6.200000e-001  3.392528e-003
  6.400000e-001  3.588605e-003
  6.600000e-001  3.789615e-003
  6.800000e-001  3.995562e-003
  7.000000e-001  4.206450e-003
  7.200000e-001  4.422289e-003
  7.400000e-001  4.643093e-003
  7.600000e-001  4.868879e-003
  7.800000e-001  5.099671e-003
  8.000000e-001  5.335493e-003
  8.200000e-001  5.576377e-003
  8.400000e-001  5.822355e-003
  8.600000e-001  6.073467e-003
  8.800000e-001  6.329754e-003
  9.000000e-001  6.591264e-003
  9.200000e-001  6.858047e-003
  9.400000e-001  7.130157e-003
  9.600000e-001  7.407655e-003
  9.800000e-001  7.690605e-003
  1.000000e+000  7.979074e-003
