       X              Y       
  0.000000e+000  0.000000e+000
  2.000000e-002 -6.318567e-004
  4.000000e-002 -1.089575e-003
  6.000000e-002 -1.418012e-003
  8.000000e-002 -1.647995e-003
  1.000000e-001 -1.801452e-003
  1.200000e-001 -1.894403e-003
  1.400000e-001 -1.938815e-003
  1.600000e-001 -1.943813e-003
  1.800000e-001 -1.916469e-003
  2.000000e-001 -1.874916e-003
  2.200000e-001 -1.796083e-003
  2.400000e-001 -1.699404e-003
  2.600000e-001 -1.587096e-003
  2.800000e-001 -1.461576e-003
  3.000000e-001 -1.324791e-003
  3.200000e-001 -1.178375e-003
  3.400000e-001 -1.023705e-003
  3.600000e-001 -8.619481e-004
  3.800000e-001 -6.940988e-004
  4.000000e-001 -5.210078e-004
  4.200000e-001 -3.434060e-004
  4.400000e-001 -1.619238e-004
  4.600000e-001  2.289327e-005
  4.800000e-001  2.105723e-004
  5.000000e-001  4.007020e-004
  5.200000e-001  5.929241e-004
  5.400000e-001  7.869260e-004
  5.600000e-001  9.824348e-004
  5.800000e-001  1.179212e-003
  6.000000e-001  1.377049e-003
  6.200000e-001  1.575765e-003
  6.400000e-001  1.775198e-003
  6.600000e-001  1.975213e-003
  6.800000e-001  2.175687e-003
  7.000000e-001  2.376517e-003
  7.200000e-001  2.577612e-003
  7.400000e-001  2.778895e-003
  7.600000e-001  2.980300e-003
  7.800000e-001  3.181773e-003
  8.000000e-001  3.383266e-003
  8.200000e-001  3.584743e-003
  8.400000e-001  3.786173e-003
  8.600000e-001  3.987534e-003
  8.800000e-001  4.188810e-003
  9.000000e-001  4.389991e-003
  9.200000e-001  4.591073e-003
  9.400000e-001  4.792057e-003
  9.600000e-001  4.992948e-003
  9.800000e-001  5.193759e-003
  1.000000e+000  5.394504e-003
